University Name,State,Country,Course Name,Average Fees (Per Year),Currency
University of Wyoming,Wyoming,United States,MS in Electrical and Computer Engineering,21480.0,USD
University of Hawaii at Manoa,Hawaii,United States,MS in Electrical Engineering,28040.0,USD
The University of Rhode Island,Rhode Island,United States,MS in Electrical Engineering,24915.0,USD
Flinders University,South Australia,Australia,Masters in Engineering Science (Electrical and Electronic),41400.0,AUD
Flinders University,South Australia,Australia,MEng in Electrical and Electronic,43400.0,AUD
University of Texas - Pan American,Texas,United States,MS in Electrical Engineering,18726.0,USD
University of Newcastle,New South Wales,Australia,Masters in Professional Engineering (Electrical and Electronic),45810.0,AUD
Youngstown State University,Ohio,United States,MS in Engineering,19470.0,USD
University of Leicester,Leicester,United Kingdom,MSc in Advanced Electrical and Electronic Engineering with Management with Industry,10875.0,GBP
University of Leicester,Leicester,United Kingdom,MSc in Advanced Electrical and Electronic Engineering with Industry Placement,10875.0,GBP
University of Leicester,Leicester,United Kingdom,MSc in Advanced Electrical and Electronic Engineering with Management,22600.0,GBP
University of Leicester,Leicester,United Kingdom,MSc in Advanced Electrical and Electronic Engineering,21850.0,GBP
"City, University of London",London,United Kingdom,MPhil in Electrical and Electronic Engineering,18730.0,GBP
University of Nottingham,Nottingham,United Kingdom,MSc in Electrical and Electronic Engineering,27200.0,GBP
University of Nottingham,Nottingham,United Kingdom,MSc in Advanced Electrical and Electronic Engineering with Extended Research,22666.0,GBP
"Washington State University, Tri-Cities",Washington,United States,MS in Electrical Engineering,20760.0,USD
Charles Darwin University,Northern Territory,Australia,MEng in Electrical and Electronics Engineering,37108.0,AUD
Brunel University,London,United Kingdom,MSc in Advanced Electronic and Electrical Engineering,25000.0,GBP
Brunel University,London,United Kingdom,MSc in Electric Vehicle Systems,25000.0,GBP
University of Kassel,Hesse,Germany,MS in Electri­cal Com­mu­ni­ca­ti­on En­gi­nee­ring,634.0,EUR
University of Waikato,Waikato,New Zealand,Masters in Electrical and Electronic Engineering,41080.0,NZ
University of Bristol,Bristol,United Kingdom,MSc in Electrical and Electronic Engineering - by Research,25300.0,GBP
"University of Alaska, Fairbanks",Alaska,United States,MS in Electrical Engineering,19408.0,USD
South Dakota School of Mines and Technology,South Dakota,United States,MS in Electrical Engineering,12210.0,USD
Queen's University Belfast,Belfast,United Kingdom,MPhil in Electrical and Electronics Engineering,23850.0,GBP
University of York,York,United Kingdom,MSc in Electronics Engineering (Research),25700.0,GBP
University of Exeter,Devon,United Kingdom,MSc in Electrical Power and Smart Grids,26500.0,GBP
"Royal Holloway, University of London",Surrey,United Kingdom,MSc in Electronic Engineering,22300.0,GBP
Durham University,Durham,United Kingdom,MSc in Electronic Engineering,28500.0,GBP
New Mexico Institute of Mining and Technology,New Mexico,United States,MS in Electrical Engineering,28022.0,USD
Oregon Health and Science University,Oregon,United States,MS in Electrical Engineering,17145.0,USD
University of Canberra,Australian Capital Territory,Australia,Masters in Engineering,38000.0,AUD
University of Hartford,Connecticut,United States,MEng in Electrical & Computer Engineering,18680.0,USD
Coventry University,Coventry,United Kingdom,MSc in Electrical and Electronic Engineering,18600.0,GBP
Coventry University,Coventry,United Kingdom,MSc in Electrical And Electronics Engineering,18250.0,GBP
University of Sussex,East Sussex,United Kingdom,MSc in Advanced Electronic and Electrical Engineering,22500.0,GBP
University of Sussex,East Sussex,United Kingdom,MSc in Advanced Electronic and Electrical Engineering,22500.0,GBP
University of Sussex,East Sussex,United Kingdom,MSc in Advanced Electronic and Electrical Engineering,22500.0,GBP
University of Sussex,East Sussex,United Kingdom,MSc in Advanced Electronic and Electrical Engineering,22500.0,GBP
University of Sussex,East Sussex,United Kingdom,MSc in Advanced Electronic and Electrical Engineering,22500.0,GBP
Université du Québec à Trois-Rivières,Quebec,Canada,MS in Electrical Engineering,14366.0,CAD
Technical University of Denmark,Copenhagen,Denmark,MSc(Eng) in Electrical Engineering,15000.0,USD
Swansea University,Wales,United Kingdom,MSc in Electronic and Electrical Engineering,21200.0,GBP
Swansea University,Wales,United Kingdom,MSc in Electrical and Electronic Engineering,21350.0,GBP
University of Hertfordshire,Hertfordshire,United Kingdom,MSc in Electronics Engineering,10300.0,GBP
University of Portsmouth,Portsmouth,United Kingdom,Masters in Electronics Engineering,17600.0,GBP
University of Portsmouth,Portsmouth,United Kingdom,MSc in Electrical And Electronics Engineering,19200.0,GBP
University of Southern Queensland,Queensland,Australia,Masters in Professional Engineering (Electrical & Electronic Engineering),35200.0,AUD
University of Surrey,Surrey,United Kingdom,MSc in Electronic Engineering,24400.0,GBP
University of Greenwich,London,United Kingdom,MSc in Electrical and Electronic Engineering with Industrial Practice,21000.0,GBP
University of Greenwich,London,United Kingdom,MSc in Electrical And Electronic Engineering,17450.0,GBP
University of Huddersfield,York,United Kingdom,MSc in Electronic Engineering,17000.0,GBP
Tokyo University of Science,Tokyo,Japan,Masters in Electrical Engineering,5500.0,JP
Anglia Ruskin University,London,United Kingdom,MSc in Electronic and Electrical Engineering,15800.0,GBP
University of Hull,Kingston upon Hull,United Kingdom,MSc in Electrical And Electronics Engineering,17200.0,GBP
Bangor University,Gwynedd,United Kingdom,MSc in Electronic Engineering,21000.0,GBP
ESIEE Paris,Paris,France,Masters in BSc. Electronics Science,4050.0,EUR
London South Bank University,London,United Kingdom,MSc in Electrical and Electronic Engineering,15400.0,GBP
Kobe University,Hyogo,Japan,Masters in Electrical And Electronics Engineering,535800.0,JP
Aarhus University,Midtjylland,Denmark,MSc in Electrical Engineering,14800.0,USD
Manchester Metropolitan University,Manchester,United Kingdom,MSc in Engineering Smart System,19000.0,GBP
University of Central Lancashire,Lancashire,United Kingdom,MSc in Maintenance Engineering,15500.0,GBP
Sheffield Hallam University,Sheffield,United Kingdom,MSc in Electrical and Electronic Engineering,17205.0,GBP
De Montfort University,Leicester,United Kingdom,MSc in Electronic Engineering,17100.0,GBP
INP-ENSEEIHT,Occitanie,France,Masters in Electrical Systems Engineering,,EUR
Doshisha University,Kyoto,Japan,Masters in Electrical and Electronic Engineering,1189000.0,JP
University of South Wales,Wales,United Kingdom,MSc in Electronics and Information Technology,16000.0,GBP
University of Chester,Warrington,United Kingdom,MSc in Electronic and Electrical Engineering,14750.0,GBP
Niigata University,Niigata,Japan,Masters in Electrical And Electronics Engineering,,JP
City University of Hong Kong,Kowloon,Hong Kong,MSc in Electronic Information Engineering,162000.0,USD
University of Plymouth,Plymouth,United Kingdom,MSc in Electrical and Electronics Engineering,18000.0,GBP
The Chinese University of Hong Kong,New Territories,Hong Kong,MSc in Electronic Engineering,150000.0,USD
Glasgow Caledonian University,Glasgow City,United Kingdom,MSc in  Electrical and Electronic Engineering,17995.0,GBP
The Hong Kong Polytechnic University,Kowloon,Hong Kong,MSc in Electrical Engineering,116000.0,USD
The Hong Kong Polytechnic University,Kowloon,Hong Kong,MSc in Electronic and Information Engineering,116000.0,USD
Claude Bernard University Lyon 1,Villeurbanne,France,"Masters in Electronics, Electrical Energy, Automation",486.0,EUR
École centrale de Lille,Villeneuve-d'Ascq,France,MS in  Electrical Energy for Sustainable Development,243.0,EUR
Université de Perpignan Via Domitia,Perpignan,France,"MS in Electronics, Electrical Energy, Automation",335.0,EUR
University of Gloucestershire,Gloucestershire,United Kingdom,MSc in Electrical and Electronics Engineering,15900.0,GBP
International University of applied sciences,Berlin,Germany,Masters in Engineering Management,15576.0,EUR
University of Bolton,Bolton,United Kingdom,MSc in Electrical and Electronics Engineering,13550.0,GBP
Institut supérieur d’électronique de Paris (ISEP),Paris,France,MSc in Engineering-Data Intelligence,10208.0,EUR
Swiss Federal Institute of Technology Lausanne,Lausanne,Switzerland,Master in Electrical and Electronic Engineering,1460.0,CHF
