University Name,State,Country,Course Name,Average Fees (Per Year),Currency
Florida International University,Florida,United States,MS in Psychology - Organizational Sciences,18018.0,USD
Florida International University,Florida,United States,Masters in Psychology,30030.0,USD
University of Oklahoma,Oklahoma,United States,M.S. in Psychology,17139.0,USD
Texas A&M University - Corpus Christi,Texas,United States,Masters in Clinical Psychology,26610.0,USD
Arkansas State University,Arkansas,United States,MS in Psychological Science,11520.0,USD
Western University,Ontario,Canada,MSc in Psychology,22662.0,CAD
"University of Alabama, Huntsville",Alabama,United States,MA in Psychology,25905.0,USD
Western University,Ontario,Canada,MSc in Psychology,22221.0,CAD
University of Saskatchewan,Saskatchewan,Canada,MA in Psychology,8096.0,CAD
Portland State University,Oregon,United States,MS in Psychology,18657.0,USD
DePaul University,Illinois,United States,MS in Psychology,18360.0,USD
DePaul University,Illinois,United States,MA in Psychological Sciences,18360.0,USD
University of Regina,Saskatchewan,Canada,MA in Psychology,9227.0,CAD
Monash University,Victoria,Australia,Masters in Professional Psychology,40500.0,AUD
University of Wisconsin-Milwaukee,Wisconsin,United States,MS in Psychology: Health Psychology,33138.0,USD
The University of Kansas,Kansas,United States,Masters in Psychology,14970.0,USD
University of Massachusetts Dartmouth,Massachusetts,United States,Masters in Psychology - Research,22176.0,USD
University of Massachusetts Dartmouth,Massachusetts,United States,Masters in Psychology - Clinical,24640.0,USD
University of Texas at San Antonio,Texas,United States,MS in Psychology,24192.0,USD
University of Manitoba,Manitoba,Canada,MA in Psychology,7131.0,CAD
University of Manitoba,Manitoba,Canada,MA in School Psychology,7131.0,CAD
Nanyang Technological University,Singapore,Singapore,MA in Psychology,15735.0,SGD
Alabama A&M University,Alabama,United States,Masters in Psychology,,USD
Memorial University of Newfoundland,Newfoundland & Labrador,Canada,MSc in Psychology,4833.0,CAD
Illinois State University,Illinois,United States,Masters in Psychology - Quantitative Psychology,14032.0,USD
Illinois State University,Illinois,United States,MS in Psychology: Cognitive and Behavioral Sciences,16682.0,USD
University of New Brunswick,New Brunswick,Canada,MA in Psychology,13302.0,CAD
Mississippi State University,Mississippi,United States,Masters in Psychology,33018.0,USD
Utah State University,Utah,United States,MED in Psychology,29856.0,USD
University of Tennessee at Knoxville,Tennessee,United States,Masters in Psychology,21568.0,USD
"Deakin University, Melbourne",Victoria,Australia,Masters in Psychology (Organisational),39200.0,AUD
"Deakin University, Melbourne",Victoria,Australia,Masters in Psychology (Clinical),39200.0,AUD
Northern Arizona University,Arizona,United States,MA in Psychological Sciences,28944.0,USD
"Southern Illinois University, Carbondale",Illinois,United States,MS in Psychology-Behavior Analysis and Therapy,28152.0,USD
The University of Sydney,New South Wales,Australia,Masters in Coaching Psychology,54000.0,AUD
RMIT University,Victoria,Australia,MSc in Psychology by Research,34560.0,AUD
Louisiana State University,Louisiana,United States,MA in Psychology,29456.0,USD
Dresden University of Technology,Sohag,Germany,Masters in Clinical Psychology and Psychotherapy,1150.0,EUR
The University of Edinburgh,Edinburgh,United Kingdom,MSc in Psychological Research,26300.0,GBP
The University of Edinburgh,Edinburgh,United Kingdom,MA in Psychology and Economics,30400.0,GBP
The University of Edinburgh,Edinburgh,United Kingdom,Masters in Social Psychology,26300.0,GBP
University of Edinburgh,Edinburgh,United Kingdom,MA in Psychology and Business,30400.0,GBP
"University of Nebraska, Lincoln",Nebraska,United States,Masters in Clinical Psychology,26855.0,USD
University of Glasgow,Glasgow City,United Kingdom,MSc in Psychological Studies (Conversion),30240.0,GBP
University College London,London,United Kingdom,MSc in Psychological Sciences,34400.0,GBP
University College London,London,United Kingdom,MSc in Brain and Mind Sciences,31200.0,GBP
University College London,London,United Kingdom,MS in Psychology and Clinical Practice,29400.0,GBP
