University Name,Address,lat,long,geometry
The University of Manchester,"The University of Manchester, Manchester, United Kingdom",53.454492,-2.219208,POINT (-2.219208 53.454492)
Chalmers University of Technology,"Chalmers University of Technology, Stockholms l'n, Sweden",65.61809,22.14011,POINT (22.14011 65.61809)
Macquarie University,"Macquarie University, New South Wales, Australia",-33.77400285,151.11276761415485,POINT (151.11276761415485 -33.77400285)
Florida Atlantic University,"Florida Atlantic University, Florida, United States",26.120145100000002,-80.14193545683685,POINT (-80.14193545683685 26.120145100000002)
Queen Mary University of London,"Queen Mary University of London, London, United Kingdom",51.52492685,-0.03924405317429028,POINT (-0.0392440531742903 51.52492685)
University of Canterbury,"University of Canterbury, Canterbury, New Zealand",-43.525148,172.573309,POINT (172.573309 -43.525148)
University of Groningen,"University of Groningen, Groningen, Netherlands",53.21944155,6.562986329174857,POINT (6.562986329174857 53.21944155)
University of Birmingham,"University of Birmingham, Birmingham, United Kingdom",52.449818,-1.931466,POINT (-1.931466 52.449818)
Tokyo Institute of Technology,"Tokyo Institute of Technology, Tokyo, Japan",35.60574,139.68339,POINT (139.68339 35.60574)
Cardiff University,"Cardiff University, Cardiff, United Kingdom",51.4894008,-3.180860341001922,POINT (-3.180860341001922 51.4894008)
Loughborough University,"Loughborough University, Leicestershire, United Kingdom",52.7626882,-1.2396365359627026,POINT (-1.2396365359627026 52.7626882)
University of Bremen,"University of Bremen, Bremen, Germany",53.107964550000005,8.855664592828369,POINT (8.855664592828369 53.107964550000005)
Fairfax University of America,"Fairfax University of America, Virginia, United States",38.939102399999996,-76.99996417338346,POINT (-76.99996417338346 38.939102399999996)
Saint Louis University,"Saint Louis University, Missouri, United States",38.64724015,-90.3084017323959,POINT (-90.3084017323959 38.64724015)
The University of Sheffield,"The University of Sheffield, Sheffield, United Kingdom",53.379822149999995,-1.4915342214351466,POINT (-1.4915342214351466 53.379822149999995)
Brandenburg University of Technology,"Brandenburg University of Technology, Brandenburg, Germany",50.020961,7.18244,POINT (7.18244 50.020961)
University of Strathclyde,"University of Strathclyde, Glasgow City, United Kingdom",55.8618812,-4.241956565778082,POINT (-4.241956565778082 55.8618812)
Western Sydney University,"Western Sydney University, New South Wales, Australia",-34.065433,150.793255,POINT (150.793255 -34.065433)
University of Southampton,"University of Southampton, Southampton, United Kingdom",50.9337516,-1.38064865,POINT (-1.38064865 50.9337516)
University of Winnipeg,"University of Winnipeg, Manitoba, Canada",49.891376449999996,-97.15388395504914,POINT (-97.15388395504914 49.891376449999996)
Utrecht University,"Utrecht University, Utrecht, Netherlands",52.0832758,5.1478185,POINT (5.1478185 52.0832758)
Flinders University,"Flinders University, South Australia, Australia",-35.02487525,138.57341808329355,POINT (138.57341808329355 -35.02487525)
Ecole Polytechnique,"Ecole Polytechnique, Palaiseau, France",48.7127874,2.2107453,POINT (2.2107453 48.7127874)
"City, University of London","City, University of London, London, United Kingdom",51.527658200000005,-0.1035244775461434,POINT (-0.1035244775461434 51.527658200000005)
University of Nottingham,"University of Nottingham, Nottingham, United Kingdom",52.9387428,-1.2002956927457427,POINT (-1.2002956927457427 52.9387428)
University of Passau,"University of Passau, Bavaria, Germany",48.567549549999995,13.452108035985926,POINT (13.452108035985926 48.567549549999995)
Heriot-Watt University,"Heriot-Watt University, Edinburgh, United Kingdom",55.91029585,-3.323447514558347,POINT (-3.323447514558347 55.91029585)
Brunel University,"Brunel University, London, United Kingdom",51.5333082,-0.4762302,POINT (-0.4762302 51.5333082)
University of Waikato,"University of Waikato, Waikato, New Zealand",-37.787786,175.3155,POINT (175.3155 -37.787786)
University of Zurich,"University of Zurich, Z'rich, Switzerland",47.37478,8.54858,POINT (8.54858 47.37478)
Kyoto University,"Kyoto University, Kyoto, Japan",35.0229299,135.777149,POINT (135.777149 35.0229299)
Victoria University of Wellington,"Victoria University of Wellington, Wellington, New Zealand",-41.2888731,174.7692657,POINT (174.7692657 -41.2888731)
Vrije Universiteit Amsterdam,"Vrije Universiteit Amsterdam, North Holland, Netherlands",52.3340539,4.865188201518784,POINT (4.865188201518784 52.3340539)
Queen's University Belfast,"Queen's University Belfast, Belfast, United Kingdom",54.5842117,-5.9364324,POINT (-5.9364324 54.5842117)
Leiden University,"Leiden University, South Holland, Netherlands",52.1572025,4.485216803828298,POINT (4.485216803828298 52.1572025)
University of York,"University of York, York, United Kingdom",53.9453903,-1.0314592943104675,POINT (-1.0314592943104675 53.9453903)
"Royal Holloway, University of London","Royal Holloway, University of London, Surrey, United Kingdom",51.424449550000006,-0.5642561069587715,POINT (-0.5642561069587715 51.424449550000006)
Oxford Brookes University,"Oxford Brookes University, Oxfordshire, United Kingdom",51.75004185,-1.1301944200961989,POINT (-1.1301944200961989 51.75004185)
Aston University,"Aston University, Birmingham, United Kingdom",52.48620975,-1.888502354328005,POINT (-1.888502354328005 52.48620975)
Stockholm University,"Stockholm University, Stockholms l'n, Sweden",59.3298746,18.0575007,POINT (18.0575007 59.3298746)
University of Essex,"University of Essex, Essex, United Kingdom",51.877232,0.947607,POINT (0.947607 51.877232)
Cranfield University,"Cranfield University, Bedford, United Kingdom",52.070132900000004,-0.6287023427161589,POINT (-0.6287023427161589 52.070132900000004)
University of Reading,"University of Reading, Reading, United Kingdom",51.4404358,-0.9417618328736392,POINT (-0.9417618328736392 51.4404358)
Teesside University,"Teesside University, Darlington, United Kingdom",54.52916485,-1.5422081341512626,POINT (-1.5422081341512626 54.52916485)
Coventry University,"Coventry University, Coventry, United Kingdom",52.4056372,-1.4997222676795412,POINT (-1.4997222676795412 52.4056372)
University of Aberdeen,"University of Aberdeen, Aberdeen City, United Kingdom",57.16452475,-2.1018363546621197,POINT (-2.1018363546621197 57.16452475)
Maastricht University,"Maastricht University, Limburg, Netherlands",50.83516,5.71476,POINT (5.71476 50.83516)
University of St Andrews,"University of St Andrews, Fife, United Kingdom",56.3398198,-2.8117937053149826,POINT (-2.8117937053149826 56.3398198)
Heinrich Heine University Düsseldorf,"Heinrich Heine University Düsseldorf, North Rhine-Westphilia, Germany",51.22889,6.81,POINT (6.81 51.22889)
University of Düsseldorf (Heinrich-Heine),"University of Düsseldorf (Heinrich-Heine), North Rhine-Westphilia, Germany",52.4938798,13.4467241,POINT (13.4467241 52.4938798)
Birmingham City University,"Birmingham City University, Birmingham, United Kingdom",52.4835078,-1.8837378,POINT (-1.8837378 52.4835078)
Technical University of Denmark,"Technical University of Denmark, Copenhagen, Denmark",55.78555,12.51892,POINT (12.51892 55.78555)
Swansea University,"Swansea University, Wales, United Kingdom",51.625679,-3.940373,POINT (-3.940373 51.625679)
University of East London,"University of East London, London, United Kingdom",51.544326350000006,0.009709714615969586,POINT (0.0097097146159696 51.544326350000006)
University of Hertfordshire,"University of Hertfordshire, Hertfordshire, United Kingdom",51.7754909,-0.09539894359880341,POINT (-0.0953989435988034 51.7754909)
"Seneca College, Newnham","Seneca College, Newnham, Toronto, Canada",43.7584222,-79.5196519,POINT (-79.5196519 43.7584222)
University of Trier,"University of Trier, Rhineland-Palatinate, Germany",49.768058100000005,6.628690122060743,POINT (6.628690122060743 49.768058100000005)
Lambton College,"Lambton College, Sarnia, Canada",42.97666095,-82.34774163972217,POINT (-82.34774163972217 42.97666095)
Radboud University,"Radboud University, Gelderland, Netherlands",51.82151725,5.863403442541042,POINT (5.863403442541042 51.82151725)
University of Kent,"University of Kent, Kent, United Kingdom",51.397863,0.542758,POINT (0.542758 51.397863)
University of Surrey,"University of Surrey, Surrey, United Kingdom",51.236978,-0.607142,POINT (-0.607142 51.236978)
University of Greenwich,"University of Greenwich, London, United Kingdom",51.4825423,-0.0066531,POINT (-0.0066531 51.4825423)
University of Huddersfield,"University of Huddersfield, York, United Kingdom",53.96221,-1.086895,POINT (-1.086895 53.96221)
"EDHEC Business School,Lille","EDHEC Business School,Lille, Paris, France",50.6729687,3.1660828293078698,POINT (3.1660828293078698 50.6729687)
"Conestoga College, Waterloo","Conestoga College, Waterloo, Waterloo, Canada",43.4790039,-80.5172866,POINT (-80.5172866 43.4790039)
Anglia Ruskin University,"Anglia Ruskin University, London, United Kingdom",51.5191263,-0.1058922,POINT (-0.1058922 51.5191263)
University of Hull,"University of Hull, Kingston upon Hull, United Kingdom",53.745501,-0.332182,POINT (-0.332182 53.745501)
"Humber College, North","Humber College, North, Toronto, Canada",43.7285212,-79.60630692591994,POINT (-79.60630692591994 43.7285212)
Loyalist College,"Loyalist College, Belleville, Canada",44.155401850000004,-77.42947432096992,POINT (-77.42947432096992 44.155401850000004)
"Nottingham Trent University, Clifton Campus","Nottingham Trent University, Clifton Campus, Nottingham, United Kingdom",52.91163995,-1.1866048156554174,POINT (-1.1866048156554174 52.91163995)
University of Stirling,"University of Stirling, Stirling, United Kingdom",56.145115399999995,-3.917393804088662,POINT (-3.917393804088662 56.145115399999995)
"Northumbria University, Newcastle","Northumbria University, Newcastle, Newcastle upon Tyne, United Kingdom",54.977505,-1.608298,POINT (-1.608298 54.977505)
