University Name,State,Country,Course Name,Average Fees (Per Year),Currency
University of Tsukuba,Ibaraki,Japan,Masters in Public Health,,JP
University of West Florida,Florida,United States,Graduate certificate in Health Leadership Communication,6222.0,USD
University of Montana,Montana,United States,Masters in Public Health,33102.0,USD
Teesside University,Darlington,United Kingdom,MSc in Specialist Community Public Health Nursing (Health Visiting),15000.0,GBP
Teesside University,Darlington,United Kingdom,MPH in  Public Health (Applied),10000.0,GBP
Teesside University,Darlington,United Kingdom,MSc in Specialist Community Public Health Nursing (School Nursing),15000.0,GBP
Teesside University,Darlington,United Kingdom,Masters in  Public Health,15000.0,GBP
Coventry University,Coventry,United Kingdom,MSc in Public Health Nutrition,18600.0,GBP
University of Sussex,East Sussex,United Kingdom,MSc in Public Health,21500.0,GBP
University of Aberdeen,Aberdeen City,United Kingdom,MSc in Global Health and Management,23800.0,GBP
University of Aberdeen,Aberdeen City,United Kingdom,MPH in Public Health,25100.0,GBP
Jackson State University,Mississippi,United States,MPH in Public Health,21600.0,USD
Southern Connecticut State University,Connecticut,United States,MPH in Public Health: Executive Management And Leadership,24213.0,USD
Southern Connecticut State University,Connecticut,United States,MPH in Public Health: Health Promotion,27672.0,USD
East Stroudsburg University,Pennsylvania,United States,MPH in Public Health,17157.0,USD
Birmingham City University,Birmingham,United Kingdom,Masters in  Public Health,17710.0,GBP
"MCPHS University, Boston",Massachusetts,United States,MPH in Public Health,28980.0,USD
University of Indianapolis,Indiana,United States,Masters in Public Health,,USD
University of East London,London,United Kingdom,MSc in Public Health,15240.0,GBP
University of Hertfordshire,Hertfordshire,United Kingdom,MSc in Advanced Physiotherapy,14750.0,GBP
Sonoma State University,California,United States,Masters in Public Health,,USD
La Salle University,Pennsylvania,United States,MPH in Public Health,22320.0,USD
Morgan State University,Maryland,United States,Masters in Public Health,,USD
University of Westminster,London,United Kingdom,MSc in Integrative Health and Wellbeing,15000.0,GBP
University of Westminster,London,United Kingdom,MSc in Global Public Health Nutrition,14000.0,GBP
University of Dundee,Dundee City,United Kingdom,Masters in Public Health,21900.0,GBP
University of Greenwich,London,United Kingdom,MSc in Global Public Health,16300.0,GBP
"Massachusetts College of Pharmacy and Health Science, Boston Campus",Massachusetts,United States,Masters in Public Health,28980.0,USD
Australian Catholic University,New South Wales,Australia,Masters in Public Health (Global Health and Advocacy),25320.0,AUD
Australian Catholic University,New South Wales,Australia,Masters in Public Health,12660.0,AUD
University of Huddersfield,York,United Kingdom,Masters in Public Health (Global) Advanced Practitioner,17000.0,GBP
University of Huddersfield,York,United Kingdom,Masters in Public Health,18700.0,GBP
"Torrens University Australia, Adelaide",South Australia,Australia,Masters in Business Administration and Public Health,24250.0,AUD
"Torrens University Australia, Adelaide",South Australia,Australia,Masters in Public Health (Advanced),25200.0,AUD
"Torrens University Australia, Adelaide",South Australia,Australia,Masters in Public Health,25200.0,AUD
Anglia Ruskin University,London,United Kingdom,MPH in Global Public Health,15000.0,GBP
Anglia Ruskin University,London,United Kingdom,MSc in Public Health and Community Wellbeing,15900.0,GBP
University of Copenhagen,Copenhagen,Denmark,MS in Global Health,125000.0,USD
University of Southern Maine,Maine,United States,MPH in Public Health,17033.0,USD
"Nottingham Trent University, Clifton Campus",Nottingham,United Kingdom,MA in Public Health,16500.0,GBP
New York Medical College,New York,United States,Masters in Public Health,28290.0,USD
Bangor University,Gwynedd,United Kingdom,MPhil in Health Economics,19500.0,GBP
Bangor University,Gwynedd,United Kingdom,MSc in  Public Health and Health Promotion,18000.0,GBP
Cardiff Metropolitan University,Wales,United Kingdom,MSc in Applied Public Health,17600.0,GBP
Cardiff Metropolitan University,Wales,United Kingdom,MSc in Applied Public Health,15968.0,GBP
