University Name,State,Country,Course Name,Average Fees (Per Year),Currency,Average Fees in INR
University of Glasgow,Glasgow City,United Kingdom,MSc in Software Development,29370.0,GBP,3105583.8
Colorado School of Mines,Colorado,United States,Masters in Mobile Application Development,38460.0,USD,3213717.6
The University of Queensland,Queensland,Australia,Masters in Software Engineering (Professional),51200.0,AUD,2853376.0
North Dakota State University,North Dakota,United States,MS in Software and Security Engineering,12992.0,USD,1085611.52
Penn State Great Valley,Pennsylvania,United States,Masters in Software Engineering,68940.0,USD,5760626.4
The University of Adelaide,South Australia,Australia,Masters in Software Engineering,48000.0,AUD,2675040.0
University of Denver,Colorado,United States,Masters in Software Engineering,,USD,
The University of Auckland,Auckland,New Zealand,MEng in Software Engineering,48622.0,NZ,2486042.8600000003
Oakland University,Michigan,United States,MS in Software engineering and Information technology,16432.0,USD,1373057.92
King's College London,London,United Kingdom,MSc in Advanced Software Engineering,35244.0,GBP,3726700.5599999996
University of Amsterdam,Amsterdam,Netherlands,MSc in Software Engineering,21796.0,EUR,1947472.5999999999
Chemnitz University of Technology,Sohag,Germany,MSc in Automotive Software Engineering,1000.0,EUR,89350.0
Villanova University,Pennsylvania,United States,MS in Software Engineering,13875.0,USD,1159395.0
University of Bath,Bath and North East Somerset,United Kingdom,MSc in Software Systems,25000.0,GBP,2643500.0
University of Quebec in Montreal,Quebec,Canada,MEng in Software Engineering,10017.0,CAD,611037.0
Chalmers University of Technology,Stockholms l'n,Sweden,MSc in Software Engineering and Technology,160000.0,SEK,1272000.0
Kennesaw State University,Georgia,United States,MS in Software Engineering,15990.0,USD,1336124.4000000001
Boston College,Massachusetts,United States,MS in Software Engineering,,USD,
Nova Southeastern University,Florida,United States,MS in Computer Science (Software Engineering),28500.0,USD,2381460.0
The University of Texas at El Paso,Texas,United States,MS in Software Engineering,20420.0,USD,1706295.2
University of Colorado at Colorado Springs,Colorado,United States,MEng in Computer Science- Software Engineering,28960.0,USD,2419897.6
"University of Nevada, Reno",Nevada,United States,Masters in Mobile Application Development,,USD,
"Carnegie Mellon University, Silicon Valley",California,United States,MS in Software Management,82050.0,USD,6856098.0
"Carnegie Mellon University, Silicon Valley",California,United States,MS in Software Engineering,86154.0,USD,7199028.24
Queen Mary University of London,London,United Kingdom,Masters in Software Engineering,,GBP,
University of Canterbury,Canterbury,New Zealand,Masters in Software Engineering,63250.0,NZ,3233972.5
Loyola University Chicago,Ohio,United States,MS in Software Engineering,25376.0,USD,2120418.56
Cardiff University,Cardiff,United Kingdom,MSc in Software Engineering,,GBP,
Fairfax University of America,Virginia,United States,Masters in Software Engineering,,USD,
Ball State University,Indiana,United States,Masters in Software Engineering,,USD,
Saint Louis University,Missouri,United States,MS in Software Engineering,28000.0,USD,2339680.0
University of Strathclyde,Glasgow City,United Kingdom,MSc in Advanced Software Engineering,23200.0,GBP,2453168.0
University of Strathclyde,Glasgow City,United Kingdom,MSc in Software Development,23200.0,GBP,2453168.0
Kingston University London,Kingston upon Thames,United Kingdom,MSc in Software Engineering,16900.0,GBP,1787006.0
University of Kiel (Christian-Albrechts),Schleswig-Holstein,Germany,Masters in Software Architecture (Computer Science),,EUR,
École de Technologie Supérieure,Quebec,Canada,MASc in Software Engineering,18930.0,CAD,1154730.0
University of Southampton,Southampton,United Kingdom,MSc in Software Engineering,29512.0,GBP,3120598.88
Central Connecticut State University,Connecticut,United States,MS in Software Engineering,26970.0,USD,2253613.2
Embry Riddle Aeronautical University,Florida,United States,MS in Software Engineering,30510.0,USD,2549415.6
