University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
The University of Adelaide,South Australia,Australia,Masters in Artificial Intelligence and Machine Learning,Artificial Intelligence,51000.0,AUD,2842230.0
University of Warwick,Coventry,United Kingdom,"MSc in Smart, Connected and Autonomous Vehicles",Artificial Intelligence,31450.0,GBP,3325523.0
"Curtin University, Perth",Western Australia,Australia,Masters in Artificial Intelligence,Artificial Intelligence,33005.0,AUD,1839368.65
Eindhoven University of Technology,North Brabant,Netherlands,MSc in Artificial Intelligence Engineering Systems,Artificial Intelligence,16700.0,EUR,1492145.0
University of Technology Sydney,New South Wales,Australia,Masters in Artificial Intelligence,Artificial Intelligence,50976.0,AUD,2840892.48
"Long Island University, Brooklyn",New York,United States,MS in Artificial Intelligence,Artificial Intelligence,20685.0,USD,1728438.6
King's College London,London,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,35244.0,GBP,3726700.56
University of Amsterdam,Amsterdam,Netherlands,MSc in Artificial Intelligence,Artificial Intelligence,17380.0,EUR,1552903.0
La Trobe University,Melbourne,Australia,Masters in Artificial Intelligence,Artificial Intelligence,39400.0,AUD,2195762.0
The University of Manchester,Manchester,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,33000.0,GBP,3489420.0
Chalmers University of Technology,Stockholms l'n,Sweden,MSc in Data Science and Artificial Intelligence,Artificial Intelligence,160000.0,SEK,1272000.0
Macquarie University,New South Wales,Australia,Masters in Intelligence,Artificial Intelligence,41400.0,AUD,2307222.0
Florida Atlantic University,Florida,United States,MS in Artificial Intelligence,Artificial Intelligence,20540.0,USD,1716322.4
Queen Mary University of London,London,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,31850.0,GBP,3367819.0
Queen Mary University of London,London,United Kingdom,MSc in Machine Learning for Visual Data Analytics,Artificial Intelligence,28900.0,GBP,3055886.0
Queen Mary University of London,London,United Kingdom,MSc in Artificial Intelligence and Machine Learning in Science,Artificial Intelligence,28900.0,GBP,3055886.0
University of Canterbury,Canterbury,New Zealand,Masters in Artificial Intelligence,Artificial Intelligence,63300.0,NZ,3236529.0
University of Groningen,Groningen,Netherlands,MSc in Artificial Intelligence,Artificial Intelligence,24200.0,EUR,2162270.0
University of Birmingham,Birmingham,United Kingdom,MSc in Artificial Intelligence and Machine Learning,Artificial Intelligence,31410.0,GBP,3321293.4
Tokyo Institute of Technology,Tokyo,Japan,Masters in Artificial Intelligence,Artificial Intelligence,635400.0,JP,330408.0
Cardiff University,Cardiff,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,30200.0,GBP,3193348.0
Loughborough University,Leicestershire,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,28750.0,GBP,3040025.0
Loughborough University,Leicestershire,United Kingdom,MSc in Artificial Intelligence and Data Analytics,Artificial Intelligence,27950.0,GBP,2955433.0
University of Bremen,Bremen,Germany,MSc in Artificial Intelligence and Intelligent Systems,Artificial Intelligence,700.0,EUR,62545.0
Fairfax University of America,Virginia,United States,MS in Artificial Intelligence and Machine Learning,Artificial Intelligence,13068.0,USD,1091962.08
Saint Louis University,Missouri,United States,MS in Artificial Intelligence,Artificial Intelligence,21000.0,USD,1754760.0
The University of Sheffield,Sheffield,United Kingdom,MSc in Autonomous and Intelligent Systems,Artificial Intelligence,29700.0,GBP,3140478.0
The University of Sheffield,Sheffield,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,31000.0,GBP,3277940.0
Brandenburg University of Technology,Brandenburg,Germany,MSc in Artificial Intelligence,Artificial Intelligence,682.0,EUR,60936.7
University of Strathclyde,Glasgow City,United Kingdom,MSc in Artificial Intelligence & Applications,Artificial Intelligence,23200.0,GBP,2453168.0
University of Strathclyde,Glasgow City,United Kingdom,MSc in Machine Learning and Deep Learning,Artificial Intelligence,28250.0,GBP,2987155.0
Western Sydney University,New South Wales,Australia,Masters in Artificial Intelligence,Artificial Intelligence,35280.0,AUD,1966154.4
University of Southampton,Southampton,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,32300.0,GBP,3415402.0
University of Winnipeg,Manitoba,Canada,PG Diploma in Artificial Intelligence,Artificial Intelligence,,CAD,
Utrecht University,Utrecht,Netherlands,MSc in Artificial Intelligence,Artificial Intelligence,23765.0,EUR,2123402.75
Flinders University,South Australia,Australia,Masters in Computer Science (Artificial Intelligence),Artificial Intelligence,37200.0,AUD,2073156.0
Ecole Polytechnique,Palaiseau,France,MSc in Artificial Intelligence and Advanced Visual Computing,Artificial Intelligence,18400.0,EUR,1644040.0
"City, University of London",London,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,22940.0,GBP,2425675.6
University of Nottingham,Nottingham,United Kingdom,MSc in Computer Science (Artificial Intelligence) (2-year),Artificial Intelligence,18133.0,GBP,1917383.42
University of Passau,Bavaria,Germany,MSc in Artificial Intelligence Engineering,Artificial Intelligence,,EUR,
Heriot-Watt University,Edinburgh,United Kingdom,MSc in Artificial Intelligence (2 years),Artificial Intelligence,24496.0,GBP,2590207.04
Heriot-Watt University,Edinburgh,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,24496.0,GBP,2590207.04
Brunel University,London,United Kingdom,MSc in Artificial Intelligence Strategy,Artificial Intelligence,25000.0,GBP,2643500.0
Brunel University,London,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,25000.0,GBP,2643500.0
University of Waikato,Waikato,New Zealand,MSc in Artificial Intelligence,Artificial Intelligence,37145.0,NZ,1899223.85
