University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
Northern Illinois University,Illinois,United States,M.A. in Psychology,Psychology,12886.0,USD,1076754.16
RWTH Aachen University,North Rhine-Westphilia,Germany,Masters in Psychology,Psychology,,EUR,
"California State University, Northridge",California,United States,MA in Psychological Science,Psychology,18593.0,USD,1553631.08
Florida State University,Florida,United States,MS in Psychology,Psychology,13320.0,USD,1113019.2
University of Victoria,British Columbia,Canada,MSc in Psychology,Psychology,7764.0,CAD,473604.0
Drexel University,Pennsylvania,United States,MS in Psychology,Psychology,30195.0,USD,2523094.2
The University of Melbourne,Victoria,Australia,Masters in Psychology (Clinical Psychology),Psychology,53858.0,AUD,3001506.34
Pace University,New York,United States,MA in Psychology,Psychology,26100.0,USD,2180916.0
The University of Chicago,Illinois,United States,Masters in Psychology,Psychology,,USD,
Kansas State University,Kansas,United States,MS in Psychology,Psychology,14406.0,USD,1203765.36
San Francisco State University,California,United States,MS in Industrial/Organizational Psychology,Psychology,20276.0,USD,1694262.56
San Francisco State University,California,United States,MS in Psychology,Psychology,20824.0,USD,1740053.44
San Francisco State University,California,United States,Masters in Psychology,Psychology,20276.0,USD,1694262.56
San Francisco State University,California,United States,"MA in Mind, Brain, and Behavior",Psychology,20073.0,USD,1677299.88
San Francisco State University,California,United States,MS in Clinical Psychology,Psychology,32550.0,USD,2719878.0
National University Of Singapore,Singapore,Singapore,MS in Psychology (Clinical),Psychology,38800.0,SGD,2392408.0
West Virginia University,West Virginia,United States,MA in Psychology,Psychology,27014.0,USD,2257289.84
"California State University, Chico",California,United States,MA in Psychology-Psychological Science,Psychology,18180.0,USD,1519120.8
The University of Central Missouri,Missouri,United States,MS in Psychology,Psychology,12204.0,USD,1019766.24
Kent State University,Ohio,United States,Masters in Educational Psychology,Psychology,21952.0,USD,1834309.12
Lehigh University,Pennsylvania,United States,MS in Psychology,Psychology,22500.0,USD,1880100.0
Florida International University,Florida,United States,MS in Psychology - Organizational Sciences,Psychology,18018.0,USD,1505584.08
Florida International University,Florida,United States,Masters in Psychology,Psychology,30030.0,USD,2509306.8
University of Oklahoma,Oklahoma,United States,M.S. in Psychology,Psychology,17139.0,USD,1432134.84
Texas A&M University - Corpus Christi,Texas,United States,Masters in Clinical Psychology,Psychology,26610.0,USD,2223531.6
Arkansas State University,Arkansas,United States,MS in Psychological Science,Psychology,11520.0,USD,962611.2
Western University,Ontario,Canada,MSc in Psychology,Psychology,22662.0,CAD,1382382.0
"University of Alabama, Huntsville",Alabama,United States,MA in Psychology,Psychology,25905.0,USD,2164621.8
Western University,Ontario,Canada,MSc in Psychology,Psychology,22221.0,CAD,1355481.0
University of Saskatchewan,Saskatchewan,Canada,MA in Psychology,Psychology,8096.0,CAD,493856.0
Portland State University,Oregon,United States,MS in Psychology,Psychology,18657.0,USD,1558978.92
DePaul University,Illinois,United States,MS in Psychology,Psychology,18360.0,USD,1534161.6
DePaul University,Illinois,United States,MA in Psychological Sciences,Psychology,18360.0,USD,1534161.6
University of Regina,Saskatchewan,Canada,MA in Psychology,Psychology,9227.0,CAD,562847.0
Monash University,Victoria,Australia,Masters in Professional Psychology,Psychology,40500.0,AUD,2257065.0
University of Wisconsin-Milwaukee,Wisconsin,United States,MS in Psychology: Health Psychology,Psychology,33138.0,USD,2769011.28
The University of Kansas,Kansas,United States,Masters in Psychology,Psychology,14970.0,USD,1250893.2
University of Massachusetts Dartmouth,Massachusetts,United States,Masters in Psychology - Research,Psychology,22176.0,USD,1853026.56
University of Massachusetts Dartmouth,Massachusetts,United States,Masters in Psychology - Clinical,Psychology,24640.0,USD,2058918.4
University of Texas at San Antonio,Texas,United States,MS in Psychology,Psychology,24192.0,USD,2021483.52
University of Manitoba,Manitoba,Canada,MA in Psychology,Psychology,7131.0,CAD,434991.0
University of Manitoba,Manitoba,Canada,MA in School Psychology,Psychology,7131.0,CAD,434991.0
Nanyang Technological University,Singapore,Singapore,MA in Psychology,Psychology,15735.0,SGD,970220.1
Alabama A&M University,Alabama,United States,Masters in Psychology,Psychology,,USD,
