University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
Queen Mary University of London,London,United Kingdom,MSc in Advanced Electronic and Electrical Engineering,Electrical and Electronics,28900.0,GBP,3055886.0
University of Canterbury,Canterbury,New Zealand,Masters in Electrical and Electronic Engineering,Electrical and Electronics,63250.0,NZ,3233972.5
University of South Alabama,Alabama,United States,Masters in Electrical Engineering,Electrical and Electronics,15210.0,USD,1270947.6
Tokyo Institute of Technology,Tokyo,Japan,MS in Electrical and Electronic Engineering,Electrical and Electronics,635400.0,JP,330408.0
"Griffith University, Brisbane",Queensland,Australia,Masters in Electronic and Computer Engineering,Electrical and Electronics,39000.0,AUD,2173470.0
"Griffith University, Brisbane",Queensland,Australia,MS in Electronic and Energy Engineering,Electrical and Electronics,58440.0,AUD,3256861.2
"Griffith University, Brisbane",Queensland,Australia,MS in Electronic and Sport Engineering,Electrical and Electronics,77920.0,AUD,4342481.6
Lancaster University,Lancashire,United Kingdom,MSc in Electronics Engineering,Electrical and Electronics,26985.0,GBP,2853393.9
NYU Tandon School of Engineering,New York,United States,MS in Electrical Engineering,Electrical and Electronics,31530.0,USD,2634646.8
"University of Duisburg, Essen",North Rhine-Westphilia,Germany,MSc in Electrical Engineering and Information Technology,Electrical and Electronics,7000.0,EUR,625450.0
University of South Australia,South Australia,Australia,MEng in Engineering (Electrical Power),Electrical and Electronics,41200.0,AUD,2296076.0
Loughborough University,Leicestershire,United Kingdom,MSc in Electrical And Electronics Engineering,Electrical and Electronics,23500.0,GBP,2484890.0
University of Liverpool,Liverpool,United Kingdom,MPhil in Electrical Engineering and Electronics,Electrical and Electronics,13900.0,GBP,1469786.0
Freiberg University of Mining and Technology,Sohag,Germany,Masters in Electronic and Sensor Materials,Electrical and Electronics,,EUR,
University of Paderborn,North Rhine-Westphilia,Germany,MSc in Electrical Systems Engineering,Electrical and Electronics,,EUR,
Colorado Technical University,Colorado,United States,MS in Electrical Engineering,Electrical and Electronics,,USD,
University of Strathclyde,Glasgow City,United Kingdom,MSc in Electronic & Electrical Engineering,Electrical and Electronics,28250.0,GBP,2987155.0
University of Rostock,Mecklenburg-Vorpommern,Germany,MSc in Electrical Engineering,Electrical and Electronics,,EUR,
École de Technologie Supérieure,Quebec,Canada,MASc in Electrical Engineering,Electrical and Electronics,19200.0,CAD,1171200.0
University of Wyoming,Wyoming,United States,MS in Electrical and Computer Engineering,Electrical and Electronics,21480.0,USD,1794868.8
University of Hawaii at Manoa,Hawaii,United States,MS in Electrical Engineering,Electrical and Electronics,28040.0,USD,2343022.4
The University of Rhode Island,Rhode Island,United States,MS in Electrical Engineering,Electrical and Electronics,24915.0,USD,2081897.4
Flinders University,South Australia,Australia,Masters in Engineering Science (Electrical and Electronic),Electrical and Electronics,41400.0,AUD,2307222.0
Flinders University,South Australia,Australia,MEng in Electrical and Electronic,Electrical and Electronics,43400.0,AUD,2418682.0
University of Texas - Pan American,Texas,United States,MS in Electrical Engineering,Electrical and Electronics,18726.0,USD,1564744.56
University of Newcastle,New South Wales,Australia,Masters in Professional Engineering (Electrical and Electronic),Electrical and Electronics,45810.0,AUD,2552991.3
Youngstown State University,Ohio,United States,MS in Engineering,Electrical and Electronics,19470.0,USD,1626913.2
University of Leicester,Leicester,United Kingdom,MSc in Advanced Electrical and Electronic Engineering with Management with Industry,Electrical and Electronics,10875.0,GBP,1149922.5
University of Leicester,Leicester,United Kingdom,MSc in Advanced Electrical and Electronic Engineering with Industry Placement,Electrical and Electronics,10875.0,GBP,1149922.5
University of Leicester,Leicester,United Kingdom,MSc in Advanced Electrical and Electronic Engineering with Management,Electrical and Electronics,22600.0,GBP,2389724.0
University of Leicester,Leicester,United Kingdom,MSc in Advanced Electrical and Electronic Engineering,Electrical and Electronics,21850.0,GBP,2310419.0
"City, University of London",London,United Kingdom,MPhil in Electrical and Electronic Engineering,Electrical and Electronics,18730.0,GBP,1980510.2
University of Nottingham,Nottingham,United Kingdom,MSc in Electrical and Electronic Engineering,Electrical and Electronics,27200.0,GBP,2876128.0
University of Nottingham,Nottingham,United Kingdom,MSc in Advanced Electrical and Electronic Engineering with Extended Research,Electrical and Electronics,22666.0,GBP,2396702.84
"Washington State University, Tri-Cities",Washington,United States,MS in Electrical Engineering,Electrical and Electronics,20760.0,USD,1734705.6
