University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
University of Reading,Reading,United Kingdom,"MSc in Accounting, Financial Management and Digital Business",Finance and Accounts,26000.0,GBP,2749240.0
Teesside University,Darlington,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,17000.0,GBP,1797580.0
University of Sussex,East Sussex,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,25000.0,GBP,2643500.0
University of Sussex,East Sussex,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,22500.0,GBP,2379150.0
University of Sussex,East Sussex,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,22500.0,GBP,2379150.0
University of Sussex,East Sussex,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,22500.0,GBP,2379150.0
University of Sussex,East Sussex,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,22500.0,GBP,2379150.0
University of Aberdeen,Aberdeen City,United Kingdom,MSc in Accounting And Finance,Finance and Accounts,27000.0,GBP,2854980.0
Birmingham City University,Birmingham,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,17710.0,GBP,1872655.4
Swansea University,Wales,United Kingdom,MSc in International Accounting and Finance,Finance and Accounts,20250.0,GBP,2141235.0
"Nottingham Trent University, City Campus",Nottingham,United Kingdom,MSc in Finance and Accounting,Finance and Accounts,20250.0,GBP,2141235.0
"Fontbonne University, St Louis",Missouri,United States,MS in Accounting,Finance and Accounts,11625.0,USD,971385.0
Tohoku University,Miyagi,Japan,Masters in Accounting Policy,Finance and Accounts,,JP,
University of Portsmouth,Portsmouth,United Kingdom,MSc in Accounting And Finance,Finance and Accounts,18300.0,GBP,1935042.0
University of Portsmouth,Portsmouth,United Kingdom,MSc in Accounting and Data Analytics,Finance and Accounts,18300.0,GBP,1935042.0
University of East Anglia,Norfolk,United Kingdom,MSc in International Accounting and Financial Management,Finance and Accounts,21200.0,GBP,2241688.0
University of East Anglia,Norfolk,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,22700.0,GBP,2400298.0
University of Westminster,London,United Kingdom,MSc in Finance and Accounting,Finance and Accounts,189.0,GBP,19984.86
University of Westminster,London,United Kingdom,Masters in Finance (International Finance),Finance and Accounts,15000.0,GBP,1586100.0
University of Dundee,Dundee City,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,20900.0,GBP,2209966.0
University of Surrey,Surrey,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,22000.0,GBP,2326280.0
University of Greenwich,London,United Kingdom,MSc in International Banking and Finance,Finance and Accounts,,GBP,
University of Greenwich,London,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,,GBP,
