University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
Princeton University,New Jersey,United States,MEng in Electrical and Computer Engineering,Electrical and Computers,59710.0,USD,4989367.6
RWTH Aachen University,North Rhine-Westphilia,Germany,"MSc in Electrical Engineering, Information Technology, and Computer Engineering",Electrical and Computers,,EUR,
"New York Institute of Technology, NY Campus",New York,United States,MS in Electrical and Computer Engineering,Electrical and Computers,32400.0,USD,2707344.0
"California State University, Fresno",California,United States,MS in Electrical and Computer Engineering,Electrical and Computers,13620.0,USD,1138087.2
"California State University, Fresno",California,United States,Masters in Electrical and Computer Engineering,Electrical and Computers,,USD,
State University of New York (Albany),New York,United States,MS in Electrical and Computer Engineering,Electrical and Computers,19640.0,USD,1641118.4
University of Victoria,British Columbia,Canada,MASc in Electrical and Computer Engineering,Electrical and Computers,8238.0,CAD,502518.0
University of Victoria,British Columbia,Canada,MEng in Electrical and Computer Engineering,Electrical and Computers,8238.0,CAD,502518.0
Rice University,Texas,United States,Masters in Electrical and Computer Engineering,Electrical and Computers,59784.0,USD,4995551.04
Rice University,Texas,United States,MS in Electrical and Computer Engineering,Electrical and Computers,43780.0,USD,3658256.8
Kansas State University,Kansas,United States,MS in Electrical and Computer Engineering,Electrical and Computers,20140.0,USD,1682898.4
Worcester Polytechnic Institute,Massachusetts,United States,MEng in Electrical and Computer Engineering,Electrical and Computers,32200.0,USD,2690632.0
Worcester Polytechnic Institute,Massachusetts,United States,MS in Electrical and Computer Engineering,Electrical and Computers,32200.0,USD,2690632.0
San Francisco State University,California,United States,MS in Electrical and Computer Engineering,Electrical and Computers,21700.0,USD,1813252.0
Wichita State University,Kansas,United States,MS in Electrical and Computer Engineering,Electrical and Computers,16020.0,USD,1338631.2
Lakehead University,Thunder Bay,Canada,MSc(Eng) in Electrical and Computer Engineering,Electrical and Computers,32001.0,CAD,1952061.0
Brown University,Rhode Island,United States,MS in Electrical and Computer Engineering - Thesis,Electrical and Computers,37808.0,USD,3159236.48
"California State University, Chico",California,United States,MS in Electrical and Computer Engineering,Electrical and Computers,13647.0,USD,1140343.32
University of Alabama at Birmingham,Alabama,United States,MS in Electrical and Computer Engineering,Electrical and Computers,20757.0,USD,1734454.92
University of Oklahoma,Oklahoma,United States,MS in Electrical and Computer Engineering - Non-Thesis,Electrical and Computers,17408.0,USD,1454612.48
Dartmouth College,New Hampshire,United States,MEng in Electrical and Computer Engineering,Electrical and Computers,42456.0,USD,3547623.36
University of Iowa,Iowa,United States,MS in Electrical and Computer Engineering,Electrical and Computers,33560.0,USD,2804273.6
Rensselaer Polytechnic Institute,New York,United States,"Masters in Electrical, Computer and Systems Engineering",Electrical and Computers,60360.0,USD,5043681.6
Western University,Ontario,Canada,MEng in Electrical and Computer Engineering,Electrical and Computers,42735.0,CAD,2606835.0
Western University,Ontario,Canada,Masters in Electrical and Computer Engineering - (MESc),Electrical and Computers,19752.0,CAD,1204872.0
Western University,Ontario,Canada,Masters in Electrical And Computer Engineering,Electrical and Computers,23349.0,CAD,1424289.0
Portland State University,Oregon,United States,MS in Electrical and Computer Engineering,Electrical and Computers,16695.0,USD,1395034.2
University of Delaware,Delaware,United States,MS in Electrical and Computer Engineering,Electrical and Computers,15420.0,USD,1288495.2
Texas State University,Texas,United States,Masters in VLSI and Microelectronics,Electrical and Computers,,USD,
University of Manitoba,Manitoba,Canada,MEng in Electrical and Computer Engineering,Electrical and Computers,13548.0,CAD,826428.0
University of Manitoba,Manitoba,Canada,MSc in Electrical and Computer Engineering,Electrical and Computers,15206.0,CAD,927566.0
ETH Zurich,Z'rich,Switzerland,MSc in Information Technology and Electrical Engineering,Electrical and Computers,1460.0,CHF,136539.2
Nanyang Technological University,Singapore,Singapore,MSc in Green Electronics,Electrical and Computers,21658.0,SGD,1335432.28
University of Ontario Institute of Technology,Ontario,Canada,MEng in Electrical and Computer Engineering,Electrical and Computers,30409.0,CAD,1854949.0
University of Ontario Institute of Technology,Ontario,Canada,MASc in Electrical and Computer Engineering,Electrical and Computers,22313.0,CAD,1361093.0
University of New Brunswick,New Brunswick,Canada,MSc(Eng) in Electrical and Computer Engineering,Electrical and Computers,14325.0,CAD,873825.0
University of New Brunswick,New Brunswick,Canada,MEng in Electrical and Computer Engineering,Electrical and Computers,15192.0,CAD,926712.0
Purdue University Northwest,Indiana,United States,MS in Electrical and Computer Engineering,Electrical and Computers,14895.0,USD,1244626.2
Purdue University Northwest,Indiana,United States,MS in Electrical and Computer Engineering,Electrical and Computers,14595.0,USD,1219558.2
Mississippi State University,Mississippi,United States,MS in Electrical and Computer Engineering,Electrical and Computers,29360.0,USD,2453321.6
"New York Institute of Technology, Old Westbury",New York,United States,MS in Electrical and Computer Engineering,Electrical and Computers,32400.0,USD,2707344.0
"Southern Illinois University, Carbondale",Illinois,United States,MS in Electrical and Computer Engineering,Electrical and Computers,35190.0,USD,2940476.4
Louisiana State University,Louisiana,United States,MS in Electrical and Computer Engineering,Electrical and Computers,29448.0,USD,2460674.88
University of New Hampshire,New Hampshire,United States,MEng in Electrical and Computer Engineering,Electrical and Computers,41100.0,USD,3434316.0
University of New Hampshire,New Hampshire,United States,MS in Electrical and Computer Engineering,Electrical and Computers,43400.0,USD,3626504.0
Lawrence Technological University,Michigan,United States,MS in Electrical and Computer Engineering,Electrical and Computers,23840.0,USD,1992070.4
Vanderbilt University,Tennessee,United States,MS in Electrical and Computer Engineering,Electrical and Computers,34215.0,USD,2859005.4
North Dakota State University,North Dakota,United States,MS in Electrical and Computer Engineering,Electrical and Computers,12180.0,USD,1017760.8
Indiana State University,Indiana,United States,MS in Electronics and Computer Technology,Electrical and Computers,14999.0,USD,1253316.44
University of Memphis,Tennessee,United States,MS in Electrical and Computer Engineering - Thesis - No Concentration,Electrical and Computers,19560.0,USD,1634433.6
Curtin University,Western Australia,Australia,MPhil in Electrical and Computer Engineering,Electrical and Computers,38000.0,AUD,2117740.0
Rowan University,New Jersey,United States,MS in Electrical and Computer Engineering,Electrical and Computers,11985.0,USD,1001466.6
University of Miami,Florida,United States,MS in Electrical and Computer Engineering,Electrical and Computers,48420.0,USD,4045975.2
Grand Valley State University,Michigan,United States,MS in Engineering - Electrical and Computer Engineering,Electrical and Computers,13761.0,USD,1149869.16
Old Dominion University,Virginia,United States,MS in Electrical and Computer Engineering,Electrical and Computers,28780.0,USD,2404856.8
Oakland University,Michigan,United States,MS in Electrical and Computer Engineering,Electrical and Computers,16432.0,USD,1373057.92
