University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
Tennessee Technological University,Tennessee,United States,Masters in Public Health,Public health,,USD,
Saint Louis University,Missouri,United States,Masters in Public Health,Public health,31440.0,USD,2627126.4
University of Liverpool,Liverpool,United Kingdom,Masters in Public Health,Public health,26400.0,GBP,2791536.0
The University of Sheffield,Sheffield,United Kingdom,MPH in Public Health,Public health,27650.0,GBP,2923711.0
The University of Sheffield,Sheffield,United Kingdom,Masters in Public Health (Health Services Research),Public health,27650.0,GBP,2923711.0
University of Lethbridge,Alberta,Canada,MS in Health Sciences,Public health,13530.0,CAD,825330.0
Georgia Southern University,Georgia,United States,Masters in Public Health,Public health,23205.0,USD,1939009.8
Newcastle University,Newcastle upon Tyne,United Kingdom,Masters in Public Health,Public health,28300.0,GBP,2992442.0
Newcastle University,Newcastle upon Tyne,United Kingdom,MSc in Global Public Health,Public health,28300.0,GBP,2992442.0
Newcastle University,Newcastle upon Tyne,United Kingdom,"MPhil in Public Health, Epidemiology and Health Services",Public health,27300.0,GBP,2886702.0
Columbus State University,Georgia,United States,MPH in  Public Health,Public health,17157.0,USD,1433638.92
"Victoria University, Melbourne",Victoria,Australia,Masters in Public Health,Public health,31000.0,AUD,1727630.0
Western Sydney University,New South Wales,Australia,Masters in Public Health,Public health,30080.0,AUD,1676358.4
University of North Dakota,North Dakota,United States,Masters in Public Health,Public health,27636.0,USD,2309264.16
Marquette University,Wisconsin,United States,Masters in Public Health,Public health,,USD,
University of Tennessee at Chattanooga,Tennessee,United States,MPH in Public Health,Public health,888.0,USD,74201.28
Florida Agricultural and Mechanical University,Florida,United States,Masters in Public Health,Public health,25550.0,USD,2134958.0
Hofstra University,New York,United States,MPH in Public Health,Public health,34944.0,USD,2919920.64
"James Cook University, Townsville",Queensland,Australia,Masters in Public Health,Public health,37960.0,AUD,2115510.8
University of Southampton,Southampton,United Kingdom,MSc in Public Health,Public health,28900.0,GBP,3055886.0
Central Queensland University,Queensland,Australia,MPH in Public Health,Public health,30720.0,AUD,1712025.6
Central Queensland University,Queensland,Australia,Masters in Public Health,Public health,15360.0,AUD,856012.8
University of Hawaii at Manoa,Hawaii,United States,Masters in Public Health,Public health,,USD,
East Carolina University,North Carolina,United States,MPH in Public Health,Public health,23057.0,USD,1926642.92
St. John's University,New York,United States,MPH in Public Health,Public health,,USD,
Flinders University,South Australia,Australia,Masters in Health and International Development,Public health,37500.0,AUD,2089875.0
Flinders University,South Australia,Australia,MPH in Public Health,Public health,35900.0,AUD,2000707.0
Edith Cowan University,Western Australia,Australia,Masters in Public Health,Public health,36850.0,AUD,2053650.5
Montclair State University,New Jersey,United States,MPH in Public Health - Community Health Education,Public health,17451.0,USD,1458205.56
Claremont Graduate University,California,United States,Masters in Public Health,Public health,48480.0,USD,4050988.8
