University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
University of Newcastle,New South Wales,Australia,MBA in Business Administration (Global),MBA,35445.0,AUD,1975349.85
The University of Maine,Maine,United States,Masters in Business Administration,MBA,9750.0,USD,814710.0
Midwestern State University,Texas,United States,MBA in Business Administration,MBA,23069.0,USD,1927645.64
University of North America,Virginia,United States,Masters in Business Administration,MBA,10530.0,USD,879886.8
Atlantis University,Florida,United States,MBA in Business Administration,MBA,34500.0,USD,2882820.0
"City, University of London",London,United Kingdom,Masters in Business Administration,MBA,50400.0,GBP,5329296.0
American University,Washington,United States,MBA in Business Administration,MBA,53816.0,USD,4496864.96
University of Nottingham,Nottingham,United Kingdom,MSc in Business and Management,MBA,28600.0,GBP,3024164.0
University of Tampa,Florida,United States,MBA in Executive Business Administration,MBA,31883.0,USD,2664143.48
University of Tampa,Florida,United States,MBA in Business Administration,MBA,28360.0,USD,2369761.6
University of Tampa,Florida,United States,Masters in Business Administration,MBA,25600.0,USD,2139136.0
Saint Peter's University,New Jersey,United States,MBA in  Business Administration,MBA,23880.0,USD,1995412.8
Charles Darwin University,Northern Territory,Australia,MBA in Business Administration Sustainable Leadership,MBA,34720.0,AUD,1934945.6
Charles Darwin University,Northern Territory,Australia,MBA in Business Administration Sustainable Enterprise,MBA,34720.0,AUD,1934945.6
Linköping University,Östergötland,Sweden,MS in Business Administration - Strategy and Management in International Organisations,MBA,95000.0,SEK,755250.0
Dallas Baptist University,Texas,United States,Masters in Business Administration - STEM,MBA,25420.0,USD,2124095.2
University of Zurich,Z'rich,Switzerland,MBA in Business Administration,MBA,60000.0,CHF,5611200.0
Tulane University,New York,United States,MBA in Business Administration,MBA,55663.0,USD,4651200.28
Laurentian University,Sudbury,Canada,Masters in Business Administration,MBA,30403.0,CAD,1854583.0
Victoria University of Wellington,Wellington,New Zealand,MBA in Executive MBA,MBA,33350.0,NZ,1705185.5
Roosevelt University,Illinois,United States,MBA in Business Administration,MBA,19635.0,USD,1640700.6
"University of New England, Australia",New South Wales,Australia,MBA in Business Administration,MBA,31600.0,AUD,1761068.0
Vancouver Island University,British Columbia,Canada,Masters in Business Administration,MBA,30783.0,CAD,1877763.0
University of Bristol,Bristol,United Kingdom,Masters in Business Administration,MBA,17000.0,GBP,1797580.0
Wilmington University,Delaware,United States,MBA in Business Administration,MBA,56592.0,USD,4728827.52
Murdoch University,Western Australia,Australia,Masters in Business Administration (Global),MBA,33360.0,AUD,1859152.8
Murdoch University,Western Australia,Australia,Masters in Business Administration,MBA,50040.0,AUD,2788729.2
Queen's University Belfast,Belfast,United Kingdom,Masters in Business Administration,MBA,28000.0,GBP,2960720.0
University of Otago,Otago,New Zealand,MBA in Business Administration,MBA,54126.0,NZ,2767462.38
Middle Tennessee State University,Tennessee,United States,MBA in Business Administration,MBA,26694.0,USD,2230550.64
"Hult International Business School, Boston",Massachusetts,United States,Masters in Global Business Administration,MBA,87900.0,USD,7344924.0
"Hult International Business School, Boston",Massachusetts,United States,Masters in Global-One Year MBA With Analytics,MBA,87900.0,USD,7344924.0
University of Cologne,North Rhine-Westphilia,Germany,MSc in Business Administration,MBA,,EUR,
University of Cologne,North Rhine-Westphilia,Germany,MSc in Business Administration- Corporate Development,MBA,760.0,EUR,67906.0
University of Exeter,Devon,United Kingdom,Masters in Business Administration,MBA,42900.0,GBP,4536246.0
Webster University,Missouri,United States,Masters in Business Administration,MBA,16060.0,USD,1341973.6
Durham University,Durham,United Kingdom,Masters in Business Administration,MBA,37500.0,GBP,3965250.0
Durham University,Durham,United Kingdom,Masters in Master of Business Administration,MBA,35000.0,GBP,3700900.0
Durham University,Durham,United Kingdom,MBA in Business administration,MBA,35000.0,GBP,3700900.0
Lewis University,Illinois,United States,Masters in Business Administration (MBA),MBA,25350.0,USD,2118246.0
Carolina University,North Carolina,United States,Masters in Business Administration,MBA,13320.0,USD,1113019.2
University of West Georgia,Georgia,United States,MBA in Business Admistration,MBA,28050.0,USD,2343858.0
University of Essex,Essex,United Kingdom,Masters in Business Administration: The Essex MBA,MBA,25000.0,GBP,2643500.0
James Cook University Singapore,Singapore,Singapore,MBA in Business Administration,MBA,40176.0,SGD,2477252.16
Clark Atlanta University,Georgia,United States,MBA in Business Administration,MBA,14265.0,USD,1191983.4
Suffolk University,Massachusetts,United States,Masters in Business Administration,MBA,61776.0,USD,5162002.56
"St. Marys University, Texas",Texas,United States,Masters in Business Administration,MBA,32040.0,USD,2677262.4
University of Canberra,Australian Capital Territory,Australia,Masters in Business Administration (Plus),MBA,39500.0,AUD,2201335.0
University of Canberra,Australian Capital Territory,Australia,MBA in Business Administration,MBA,37000.0,AUD,2062010.0
INSEAD France,Île-de-France,France,MBA in Global Executive MBA,MBA,175214.0,EUR,15655370.9
Westcliff University,California,United States,Masters in Business Administration,MBA,14310.0,USD,1195743.6
Westcliff University,California,United States,Graduate Certificate in Business Administration- Cybersecurity,MBA,6000.0,USD,501360.0
Westcliff University,California,United States,Graduate Certficate in Business Administration- Web Development & Applications Management,MBA,6000.0,USD,501360.0
University of West Florida,Florida,United States,Masters in  Business Administration,MBA,17111.0,USD,1429795.16
University of Montana,Montana,United States,Masters in  Business Administration,MBA,33771.0,USD,2821904.76
Bond University,Queensland,Australia,Masters in Business Administration (Professional),MBA,43360.0,AUD,2416452.8
Bond University,Queensland,Australia,Masters in Business Administration,MBA,52759.0,AUD,2940259.07
"Bond University, Gold Coast",Queensland,Australia,Masters in Business Administration,MBA,52759.0,AUD,2940259.07
University of Hartford,Connecticut,United States,Masters in MBA,MBA,14652.0,USD,1224321.12
Teesside University,Darlington,United Kingdom,MBA in Business Administration,MBA,14300.0,GBP,1512082.0
Mississippi College,Mississippi,United States,MBA in Business Administration,MBA,10695.0,USD,893674.2
University of Aberdeen,Aberdeen City,United Kingdom,MBA,MBA,28600.0,GBP,3024164.0
University of Aberdeen,Aberdeen City,United Kingdom,MBA in Business Administration,MBA,28600.0,GBP,3024164.0
Southern Connecticut State University,Connecticut,United States,MBA in Business Administration,MBA,26565.0,USD,2219771.4
Birmingham City University,Birmingham,United Kingdom,MBA in International MBA,MBA,19020.0,GBP,2011174.8
Birmingham City University,Birmingham,United Kingdom,MBA in Business Administration,MBA,16300.0,GBP,1723562.0
Swansea University,Wales,United Kingdom,Masters in Business Administration,MBA,24050.0,GBP,2543047.0
University of East London,London,United Kingdom,MBA in Business Administration- Digital Marketing,MBA,16740.0,GBP,1770087.6
University of Bern,Bern,Switzerland,Masters in Business Administration,MBA,1900.0,CHF,177688.0
University of Hertfordshire,Hertfordshire,United Kingdom,Masters in Business Administration,MBA,17950.0,GBP,1898033.0
University of St. Gallen,Sankt Gallen,Switzerland,Masters in Business Administration,MBA,63500.0,CHF,5938520.0
New Mexico Highlands University,New Mexico,United States,MBA in Business Administration,MBA,9702.0,USD,810699.12
International Technological University,California,United States,MBA in Business Administration,MBA,18947.0,USD,1583211.32
University of East Anglia,Norfolk,United Kingdom,Masters in Business Administration,MBA,24000.0,GBP,2537760.0
University of Surrey,Surrey,United Kingdom,MBA in Business Administration,MBA,26900.0,GBP,2844406.0
Trinity Western University,British Columbia,Canada,Masters in MBA,MBA,30000.0,CAD,1830000.0
"Fanshawe College, London",London,Canada,Certificate in Office Administration - General,MBA,15639.0,CAD,953979.0
"Johnson and Wales University, Providence",Rhode Island,United States,MBA in Business Administration,MBA,30312.0,USD,2532870.72
University of Huddersfield,York,United Kingdom,Masters in Business Administration,MBA,19690.0,GBP,2082020.6
University of the Sunshine Coast,Queensland,Australia,MBA in Business Administration,MBA,27800.0,AUD,1549294.0
University of the Sunshine Coast,Queensland,Australia,Masters in Business Administration / International Business,MBA,27400.0,AUD,1527002.0
"International Institute for Management Development, Switzerland",Lausanne,Switzerland,Masters in Business Administration,MBA,80000.0,CHF,7481600.0
Middlesex University,London,United Kingdom,Masters in Business Administration,MBA,19200.0,GBP,2030208.0
New England College,New Hampshire,United States,Masters in Business Administration,MBA,599.0,USD,50052.44
"Torrens University Australia, Adelaide",South Australia,Australia,Masters in Business Administration (Advanced),MBA,31400.0,AUD,1749922.0
"Torrens University Australia, Adelaide",South Australia,Australia,Masters in Business Administration and Global Project Management,MBA,27500.0,AUD,1532575.0
Anglia Ruskin University,London,United Kingdom,Masters in Business Administration (16 months),MBA,18146.0,GBP,1918758.04
University of Copenhagen,Copenhagen,Denmark,MBA in Business Administration,MBA,50000.0,USD,4178000.0
University of Notre Dame Australia,Western Australia,Australia,Masters in Business Administration,MBA,39330.0,AUD,2191860.9
University of Stirling,Stirling,United Kingdom,MSc in Business and Management,MBA,20600.0,GBP,2178244.0
University of Stirling,Stirling,United Kingdom,Masters in Business Administration,MBA,23825.0,GBP,2519255.5
"New York Institute of Technology, Vancouver",New York,United States,MBA in Business Administration-Finance,MBA,22444.0,USD,1875420.64
Geneva Business School,Geneva,Switzerland,MBA in  Business Administration,MBA,25900.0,CHF,2422168.0
IÉSEG School of Management,Paris,France,MBA in International Business Administration,MBA,36111.0,EUR,3226517.85
"California State University, Stanislaus",California,United States,MBA in Business Administration,MBA,17790.0,USD,1486532.4
"California State University, Bakersfield",California,United States,MBA in  Business Administration,MBA,20520.0,USD,1714651.2
Northeastern State University,Oklahoma,United States,MBA in Business Administration,MBA,11538.0,USD,964115.28
Aberystwyth University,Wales,United Kingdom,Masters in Business Administration,MBA,18875.0,GBP,1995842.5
University of the Fraser Valley,British Columbia,Canada,Certificate in Administration,MBA,3102.0,CAD,189222.0
Abertay University,Dundee City,United Kingdom,MPhil in Business and Management,MBA,13750.0,GBP,1453925.0
Point Park University,Pennsylvania,United States,Masters in Business Administration,MBA,18216.0,USD,1522128.96
Leeds Beckett University,Leeds,United Kingdom,Masters in Business Administration,MBA,17964.0,GBP,1899513.36
University of Bedfordshire,Buckinghamshire,United Kingdom,Masters in Business Administration (Hospital and Health Services Management),MBA,15400.0,GBP,1628396.0
University of Bedfordshire,Buckinghamshire,United Kingdom,Masters in Business Administration (Marketing),MBA,15900.0,GBP,1681266.0
University of Bedfordshire,Buckinghamshire,United Kingdom,Masters in Business Administration (Finance),MBA,15400.0,GBP,1628396.0
University of Bedfordshire,Buckinghamshire,United Kingdom,Masters in Business Administration with Data Analytics,MBA,19700.0,GBP,2083078.0
University of Bedfordshire,Buckinghamshire,United Kingdom,Masters in Business Administration (Oil and Gas Management),MBA,15400.0,GBP,1628396.0
University of Bedfordshire,Buckinghamshire,United Kingdom,Masters in Business Administration - Human Resource Management,MBA,15400.0,GBP,1628396.0
University of Bedfordshire,Buckinghamshire,United Kingdom,Masters in Business Administration - Logistics and Supply Chain Management,MBA,15400.0,GBP,1628396.0
University of Bedfordshire,Buckinghamshire,United Kingdom,Masters in Business Administration (Placement),MBA,9781.0,GBP,1034242.94
University of Europe for Applied Sciences,Berlin,Germany,Masters in Business Administration,MBA,13500.0,EUR,1206225.0
University of Wolverhampton,Wolverhampton,United Kingdom,MBA in Business Administration,MBA,15450.0,GBP,1633683.0
Staffordshire University,Stoke-on-Trent,United Kingdom,MBA in Business Administration,MBA,15509.0,GBP,1639921.66
Lee Kong Chian School of Business,Singapore,Singapore,MBA in Business Administration,MBA,56160.0,SGD,3462825.6
University of Chester,Warrington,United Kingdom,Masters in Business Administration,MBA,14950.0,GBP,1580813.0
Bournemouth University,Bournemouth,United Kingdom,Masters in Business Administration,MBA,18000.0,GBP,1903320.0
University of Bologna,Bologna,Italy,MBA in Business Administration,MBA,3217.0,EUR,287438.95
University of Derby,Derby,United Kingdom,MSc in Tourism Management,MBA,14900.0,GBP,1575526.0
University of Derby,Derby,United Kingdom,Masters in Business Administration- MBA Global and MBA Global Finance,MBA,16500.0,GBP,1744710.0
Ulster University,Coleraine,United Kingdom,MBA in Executive MBA,MBA,19620.0,GBP,2074618.8
Edge Hill University,Lancashire,United Kingdom,MBA in Business Administration,MBA,15000.0,GBP,1586100.0
University of the West of Scotland,London,United Kingdom,MBA in Business Administration with Banking and Finance,MBA,15500.0,GBP,1638970.0
HTW Berlin,Berlin,Germany,Masters in Business Administration and Engineering: Interdisciplinary Management,MBA,8333.0,EUR,744553.55
HTW Berlin,Berlin,Germany,Masters in Business Administration and Engineering,MBA,8333.0,EUR,744553.55
Copenhagen Business School,Hovedstaden,Denmark,MSc in Business Administration and Digital Business,MBA,15200.0,USD,1270112.0
"University of Redlands, Rancho Cucamonga",California,United States,MBA in Business Administration,MBA,33624.0,USD,2809621.44
Glasgow Caledonian University,Glasgow City,United Kingdom,MBA in Global Masters of Business Administration,MBA,18998.0,GBP,2008848.52
Saint Leo University,St. Leo,United States,Masters in Business Administration,MBA,11700.0,USD,977652.0
University of Roehampton,London,United Kingdom,MBA in Business Administration,MBA,18000.0,GBP,1903320.0
University of Roehampton,London,United Kingdom,MBA in Business Administration,MBA,18000.0,GBP,1903320.0
University of Roehampton,London,United Kingdom,MBA in Business Administration,MBA,18000.0,GBP,1903320.0
University of Roehampton,London,United Kingdom,MBA in Business Administration,MBA,18000.0,GBP,1903320.0
University of Lincoln,Lincolnshire,United Kingdom,MBA in Business Administration,MBA,17900.0,GBP,1892746.0
Southern Utah University,Utah,United States,MBA in Business Administration,MBA,79068.0,USD,6606922.08
London Metropolitan University,London,United Kingdom,Masters in Business Administration,MBA,18150.0,GBP,1919181.0
"Concordia University, Chicago",Illinois,United States,MBA in Business Administration,MBA,12780.0,USD,1067896.8
"Concordia University, Chicago",Illinois,United States,MBA in Business Administration - Digital Marketing,MBA,12780.0,USD,1067896.8
"Concordia University, Chicago",Illinois,United States,MBA in Business Administration - Leadership and Change Management,MBA,17040.0,USD,1423862.4
University of St. Francis,Illinois,United States,Masters in Business Administration: Finance,MBA,28764.0,USD,2403519.84
University of St. Francis,Illinois,United States,Masters in Business Administration: Accounting,MBA,28764.0,USD,2403519.84
University of St. Francis,Illinois,United States,Masters in Business Administration: Human Resource Management,MBA,28764.0,USD,2403519.84
University of St. Francis,Illinois,United States,MBA in Business Administration,MBA,14382.0,USD,1201759.92
University of St. Francis,Illinois,United States,Masters in Business Administration - Management,MBA,14364.0,USD,1200255.84
University of St. Francis,Illinois,United States,Masters in  Business Administration,MBA,28728.0,USD,2400511.68
Humboldt State University,California,United States,Masters in Business Administration,MBA,37824.0,USD,3160573.44
University of Suffolk,Suffolk,United Kingdom,MBA in Master of Business Administration,MBA,16497.0,GBP,1744392.78
Canterbury Christ Church University,Kent,United Kingdom,MBA in International,MBA,15500.0,GBP,1638970.0
University of Sunderland,Sunderland,United Kingdom,MBA in Business Administration,MBA,17000.0,GBP,1797580.0
University of Sunderland,Sunderland,United Kingdom,MBA in Business Administration (Finance) (London),MBA,17000.0,GBP,1797580.0
University of Sunderland,Sunderland,United Kingdom,Masters in Business Administration with a Postgraduate Certificate,MBA,17250.0,GBP,1824015.0
University of Sunderland,Sunderland,United Kingdom,Masters in Business Administration (Hospitality Management) - London,MBA,15000.0,GBP,1586100.0
University of Sunderland,Sunderland,United Kingdom,Masters in Business Administration (Finance),MBA,17000.0,GBP,1797580.0
University of Sunderland,Sunderland,United Kingdom,MBA in Cybersecurity (London),MBA,17000.0,GBP,1797580.0
University of Sunderland,Sunderland,United Kingdom,Masters in Business Administration (HRM),MBA,17000.0,GBP,1797580.0
University of Sunderland,Sunderland,United Kingdom,MBA in  Business Administration (London),MBA,17000.0,GBP,1797580.0
University of Sunderland,Sunderland,United Kingdom,Masters in Business Administration (Hospitality Management) (London),MBA,15000.0,GBP,1586100.0
University for the Creative Arts,Kent,United Kingdom,MBA in Business Administration,MBA,18500.0,GBP,1956190.0
GISMA Business School,Berlin,Germany,MBA in Business Administration,MBA,18000.0,EUR,1608300.0
Université Paris-Est Créteil,Creteil,France,MS in Business Administration,MBA,,EUR,
Universite Cote d'Azur,Nice,France,MS in Business Management and Administration,MBA,,EUR,
Arden University,Coventry,United Kingdom,MBA in Business Administration,MBA,16500.0,GBP,1744710.0
Clayton State University,Georgia,United States,MBA in Business Administration,MBA,22028.0,USD,1840659.68
Friends University,Kansas,United States,Masters in Professional Business Administration,MBA,19080.0,USD,1594324.8
University of Northampton,Northamptonshire,United Kingdom,Masters in Business Administration (with Work Placement),MBA,17500.0,GBP,1850450.0
Mercy College,New York,United States,Masters in Business Administration,MBA,37044.0,USD,3095396.64
University of Wales Trinity Saint David,Swansea,United Kingdom,MBA in  Business Administration,MBA,15000.0,GBP,1586100.0
Conservatoire National des Arts et Métiers,Paris,France,MS in Business Administration,MBA,14500.0,EUR,1295575.0
Wrexham Glyndwr University,Wales,United Kingdom,MBA in Business Administration,MBA,11000.0,GBP,1163140.0
University of Gloucestershire,Gloucestershire,United Kingdom,Masters in Global Business Administration,MBA,,GBP,
